Packet Number,Time(seconds),socket_count
8413,329,122
8414,329,122
8415,329,122
8416,329,122
8417,329,122
8418,329,122
8419,329,122
8420,329,122
8421,329,122
8422,329,122
8423,329,122
8424,329,122
8425,329,122
8426,329,122
8427,329,122
8428,329,122
8429,329,122
8430,329,122
8431,329,122
8432,329,122
8433,329,122
8461,330,122
8849,330,122
8850,330,122
8853,330,122
8854,330,122
8932,330,122
8933,330,122
8934,330,122
8935,330,122
8936,330,122
8937,330,122
8938,330,122
8939,330,122
8940,330,122
8941,330,122
8942,330,122
8943,330,122
8944,330,122
8945,330,122
8946,330,122
8947,330,122
8948,330,122
8949,330,122
8950,330,122
8951,330,122
8952,330,122
8953,330,122
8954,330,122
8961,330,122
8962,330,122
8963,330,122
8964,330,122
8965,330,122
8966,330,122
8967,330,122
8968,330,122
8969,330,122
8970,330,122
8971,330,122
8982,330,122
8983,330,122
8984,330,122
8985,330,122
8990,330,122
8991,330,122
8992,330,122
8993,330,122
8996,330,122
8997,330,122
8998,330,122
8999,330,122
9004,330,122
9005,330,122
9006,330,122
9007,330,122
9008,330,122
9010,331,122
9011,331,122
9012,331,122
9013,331,122
9014,331,122
9015,331,122
9016,331,122
9017,331,122
9018,331,122
9019,331,122
9023,331,122
9024,331,122
9025,331,122
9026,331,122
9027,331,122
9028,331,122
9029,331,122
9030,331,122
9031,331,122
9032,331,122
9033,331,122
9034,331,122
9035,331,122
9036,331,122
9037,331,122
9038,331,122
9039,331,122
9040,331,122
9041,331,122
9042,331,122
9043,331,122
9044,331,122
9045,331,122
9046,331,122
9047,331,122
9048,331,122
9049,331,122
9050,331,122
9051,331,122
9052,331,122
9053,331,122
9054,331,122
9055,331,122
9056,331,122
9057,331,122
9058,331,122
9059,331,122
9063,334,123
9064,334,124
9071,334,125
9072,334,126
9092,334,126
9093,334,126
9094,334,126
9098,335,126
9139,335,126
9140,335,126
9141,335,126
9142,335,126
9146,338,126
9147,338,126
9148,338,126
9150,338,126
9151,338,126
9152,338,126
9153,338,126
9163,339,127
9164,339,128
9165,339,129
9166,339,130
9287,339,130
9288,339,130
9289,339,130
9290,339,130
9291,339,130
9292,339,130
9301,342,130
9302,342,130
9303,342,130
9304,342,130
9305,342,130
9306,342,130
9307,342,130
9308,342,130
9309,342,130
9310,342,130
9311,342,130
9312,342,130
9313,342,130
9314,342,130
9315,342,130
9316,342,130
9317,342,130
9318,342,130
9319,342,130
9320,342,130
9321,342,130
9322,342,130
9323,342,130
9327,342,130
9332,342,131
9333,342,132
9334,342,133
9369,342,134
9370,342,135
9371,342,136
9396,342,136
9397,342,136
9398,342,136
9399,342,136
9400,342,136
9401,342,136
9419,342,136
9420,342,136
9425,342,137
9426,342,138
9427,342,139
9472,342,139
9473,342,139
9474,342,139
9475,342,139
9476,342,139
9477,342,139
9478,342,139
9480,343,139
9484,343,139
9485,343,139
9486,343,139
9507,345,139
9508,345,139
9509,345,139
9522,345,139
9523,345,139
9524,345,139
9537,346,139
9538,346,139
9539,346,139
9540,346,139
9545,348,139
9546,348,139
9547,348,139
9548,348,139
9549,348,139
9550,348,139
9551,348,139
9565,349,140
9566,349,141
9567,349,142
9568,349,143
9614,349,144
9615,349,145
9616,349,146
9617,349,147
9625,349,148
9626,349,149
9627,349,150
9628,349,151
9636,349,152
9637,349,153
9638,349,154
9639,349,155
10193,349,155
10194,349,155
10195,349,155
10196,349,155
10197,349,155
10198,349,155
10200,349,155
10201,349,155
10202,349,155
10216,349,155
10217,349,155
10234,349,155
10240,349,155
10241,349,155
10242,349,155
10282,349,155
10283,349,155
10284,349,155
10285,349,155
10286,349,155
10287,349,155
10297,349,155
10302,349,155
10313,349,155
10314,349,155
10315,349,155
10316,349,155
10318,350,156
10319,350,157
10320,350,158
10350,350,158
10351,350,158
10352,350,158
10385,351,158
10386,351,158
10387,351,158
10397,351,158
10398,351,158
10399,351,158
10400,351,158
10401,351,158
10402,351,158
10403,351,158
10404,351,158
10405,351,158
10406,351,158
10407,351,158
10408,351,158
10409,351,158
10410,351,158
10411,351,158
10412,351,158
10413,351,158
10414,351,158
10415,351,158
10416,351,158
10435,353,158
10436,353,158
10437,353,158
10441,353,158
10442,353,158
10443,353,158
10444,353,158
10445,353,158
10447,353,158
10448,353,158
10449,353,158
10505,354,158
10506,354,158
10507,354,158
10525,356,158
10526,356,158
10527,356,158
10546,357,158
10547,357,158
10548,357,158
10549,357,158
10553,358,158
10554,358,158
10555,358,158
10556,358,158
10558,358,158
10559,358,158
10560,358,158
10561,358,158
10562,358,158
10563,358,158
10564,358,158
10568,358,158
10650,359,158
10651,359,158
10652,359,158
10655,359,158
10656,359,158
10657,359,158
10670,359,159
10671,359,160
10672,359,161
10673,359,162
10684,359,163
10685,359,164
10691,359,165
10692,359,166
10693,359,167
10694,359,168
10697,359,169
10698,359,170
10710,359,171
10711,359,172
10715,359,173
10716,359,174
10728,359,174
10731,359,174
10732,359,174
10733,359,174
10734,359,174
10735,359,174
10736,359,174
10737,359,174
10738,359,174
10739,359,174
10740,359,174
10741,359,174
10742,359,174
10743,359,174
10744,359,174
10745,359,174
10746,359,174
10747,359,174
10748,359,174
10749,359,174
10750,359,174
10751,359,174
10752,359,174
10753,359,174
10754,359,174
10755,359,174
10756,359,174
10757,359,174
10758,359,174
10759,359,174
10760,359,174
10761,359,174
10762,359,174
10763,359,174
10764,359,174
10765,359,174
10766,359,174
10767,359,174
10768,359,174
10769,359,174
10770,359,174
10771,359,174
10772,359,174
10773,359,174
10774,359,174
10775,359,174
10776,359,174
10777,359,174
10778,359,174
10782,359,174
10783,359,174
10784,359,174
10820,359,174
10821,359,174
10822,359,174
10827,359,174
10864,359,174
10873,359,174
10874,359,174
10875,359,174
10886,359,174
10887,359,174
10888,359,174
10889,359,174
10893,359,174
10894,359,174
10895,359,174
10896,359,174
10897,359,174
10907,359,174
10908,359,174
10909,359,174
10910,359,174
10911,359,174
10912,359,174
10913,359,174
10914,359,174
10915,359,174
10916,359,174
10917,359,174
10927,359,174
10928,359,174
10929,359,174
10930,359,174
10959,359,174
10960,359,174
10961,359,174
10962,359,174
10963,359,174
10964,359,174
10965,359,174
10966,359,174
10974,360,174
10975,360,174
10976,360,174
10981,360,174
10982,360,174
10983,360,174
11007,360,174
11008,360,174
11009,360,174
11019,361,174
11020,361,174
11021,361,174
11038,363,174
11039,363,174
11040,363,174
11041,363,174
11043,363,174
11044,363,174
11045,363,174
11066,364,174
11067,364,174
11068,364,174
11102,364,175
11103,364,176
11109,364,177
11110,364,178
11120,364,178
11121,364,178
11122,364,178
11123,364,178
11137,365,178
11138,365,178
11139,365,178
11144,366,178
11145,366,178
11146,366,178
11156,366,178
11157,366,178
11158,366,178
11233,369,178
11234,369,178
11235,369,178
11236,369,178
11237,369,178
11238,369,178
11240,369,178
11241,369,178
11242,369,178
11243,369,178
11244,369,178
11245,369,178
11246,369,178
11247,369,178
11248,369,178
11249,369,178
11250,369,178
11251,369,178
11252,369,178
11253,369,178
11254,369,178
11255,369,178
11256,369,178
11257,369,178
11258,369,178
11259,369,178
11260,369,178
11261,369,178
11262,369,178
11263,369,178
11264,369,178
11265,369,178
11266,369,178
11267,369,178
11268,369,178
11269,369,178
11288,371,179
11289,371,180
11290,371,181
11291,371,182
11509,379,182
11510,379,182
11511,379,182
11512,379,182
11545,380,183
11546,380,184
11547,380,185
11548,380,186
11697,385,186
11698,385,186
11699,385,186
11700,385,186
11874,389,186
11875,389,186
11876,389,186
11877,389,186
11878,389,186
11879,389,186
11884,389,187
11885,389,188
11886,389,189
11890,389,189
11895,389,189
12126,393,190
12127,393,191
12128,393,192
12129,393,193
12166,394,194
12167,394,195
12168,394,196
12169,394,197
12241,394,197
12242,394,197
12243,394,197
12244,394,197
12383,399,198
12384,399,199
12385,399,200
12386,399,201
12419,400,201
12420,400,201
12421,400,201
12443,400,201
12444,400,201
12445,400,201
12446,400,201
12447,400,201
12448,400,201
12449,400,201
12450,400,201
12451,400,201
12452,400,201
12453,400,201
12454,400,201
12455,400,201
12456,400,201
12457,400,201
12458,400,201
12459,400,201
12460,400,201
12461,400,201
12462,400,201
12463,400,201
12464,400,201
12465,400,201
12466,400,201
12467,400,201
12468,400,201
12469,400,201
12470,400,201
12471,400,201
12472,400,201
12473,400,201
12474,400,201
12475,400,201
12476,400,201
12477,400,201
12478,400,201
12479,400,201
12480,400,201
12481,400,201
12482,400,201
