Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Packet Number,Time(seconds),socket_count
812,2,TCP,192.168.136.131,80,50671,473,493,0,14,355,666,3
813,0,TCP,192.168.136.1,50671,80,493,0,0,14,356,666,3
814,3,TCP,192.168.136.1,50671,80,0,420,0,14,357,666,3
815,3,TCP,192.168.136.131,80,50671,420,493,0,14,358,666,3
816,0,TCP,192.168.136.1,50671,80,493,0,0,14,359,666,3
817,5,TCP,192.168.136.131,80,50671,0,0,0,14,360,666,3
818,4,TCP,192.168.136.1,50671,80,1,0,0,14,361,666,3
843,0,TCP,192.168.136.131,55064,443,1,0,0,15,362,666,3
844,0,TCP,192.168.136.131,55064,443,0,517,0,15,363,666,3
845,0,TCP,34.117.237.239,443,55064,517,0,0,15,364,666,3
846,0,TCP,34.117.237.239,443,55064,0,1412,0,15,365,666,3
847,0,TCP,192.168.136.131,55064,443,1412,0,0,15,366,666,3
848,0,TCP,34.117.237.239,443,55064,0,1412,0,15,367,666,3
849,0,TCP,192.168.136.131,55064,443,1412,0,0,15,368,666,3
850,0,TCP,34.117.237.239,443,55064,0,1412,0,15,369,666,3
851,0,TCP,192.168.136.131,55064,443,1412,0,0,15,370,666,3
852,0,TCP,34.117.237.239,443,55064,0,279,0,15,371,666,3
853,0,TCP,192.168.136.131,55064,443,279,0,0,15,372,666,3
865,0,TCP,192.168.136.131,60018,443,1,0,0,16,373,666,3
866,0,TCP,192.168.136.131,60018,443,0,216,0,16,374,666,3
867,0,TCP,34.160.144.191,443,60018,216,0,0,16,375,666,3
868,0,TCP,34.160.144.191,443,60018,0,1412,0,16,376,666,3
869,0,TCP,34.160.144.191,443,60018,0,1412,0,16,377,666,3
870,0,TCP,192.168.136.131,60018,443,1412,0,0,16,378,666,3
871,0,TCP,192.168.136.131,60018,443,1412,0,0,16,379,666,3
872,0,TCP,34.160.144.191,443,60018,0,1578,0,16,380,666,3
873,0,TCP,192.168.136.131,60018,443,1578,0,0,16,381,666,3
874,0,TCP,192.168.136.131,60018,443,0,93,0,16,382,666,3
875,0,TCP,34.160.144.191,443,60018,93,0,0,16,383,666,3
877,0,TCP,192.168.136.131,36662,80,1,0,0,17,384,666,3
878,0,TCP,192.168.136.131,36662,80,0,415,0,17,385,666,3
879,0,TCP,23.53.240.51,80,36662,415,0,0,17,386,666,3
882,0,TCP,34.160.144.191,443,60018,0,364,0,16,387,666,3
884,0,TCP,192.168.136.131,60018,443,364,0,0,16,388,666,3
887,0,TCP,23.53.240.51,80,36662,0,889,0,17,389,666,3
888,0,TCP,192.168.136.131,36662,80,889,0,0,17,390,666,3
889,0,TCP,192.168.136.131,36662,80,0,415,0,17,391,666,3
890,0,TCP,23.53.240.51,80,36662,415,0,0,17,392,666,3
891,0,TCP,192.168.136.131,55064,443,0,64,0,15,393,666,3
892,0,TCP,34.117.237.239,443,55064,64,0,0,15,394,666,3
893,0,TCP,192.168.136.131,55064,443,0,170,0,15,395,666,3
894,0,TCP,34.117.237.239,443,55064,170,0,0,15,396,666,3
895,0,TCP,192.168.136.131,55064,443,0,234,0,15,397,666,3
896,0,TCP,34.117.237.239,443,55064,234,0,0,15,398,666,3
897,0,TCP,34.117.237.239,443,55064,0,586,0,15,399,666,3
898,0,TCP,192.168.136.131,55064,443,586,0,0,15,400,666,3
899,0,TCP,192.168.136.131,55064,443,0,31,0,15,401,666,3
900,0,TCP,34.117.237.239,443,55064,31,0,0,15,402,666,3
902,0,TCP,192.168.136.131,36668,80,1,0,0,18,403,666,3
903,0,TCP,23.53.240.51,80,36662,0,889,0,17,404,666,3
