Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Time(seconds),socket_count
1064,29,TCP,35.186.224.39,443,51064,43,0,0,9,,
1065,0,TCP,35.186.224.39,443,51064,0,40,0,9,,
1069,0,TCP,192.168.77.101,58219,80,1,0,0,56,139,8
1070,0,TCP,192.168.77.101,58219,80,0,418,0,56,,
1072,0,TCP,192.168.77.101,58219,80,647,0,0,56,,
1073,0,TCP,192.168.77.101,58219,80,0,419,0,56,,
1080,0,TCP,192.168.77.101,58219,80,1448,0,0,56,,
1081,0,TCP,192.168.77.101,58219,80,4344,0,0,56,,
1082,0,TCP,192.168.77.101,58219,80,1421,0,0,56,,
1083,0,TCP,192.168.77.101,58219,80,0,462,0,56,,
1091,0,TCP,192.168.77.101,58220,80,1,0,0,57,140,9
1092,0,TCP,192.168.77.101,58220,80,0,477,0,57,,
1100,0,TCP,192.168.77.101,58221,80,1,0,0,58,140,10
1101,0,TCP,192.168.77.101,58222,80,1,0,0,59,140,11
1102,0,TCP,192.168.77.101,58221,80,0,457,0,58,,
1103,0,TCP,192.168.77.101,58222,80,0,462,0,59,,
1104,0,TCP,192.168.77.101,58219,80,2896,0,0,56,,
1106,0,TCP,192.168.77.101,58219,80,4344,0,0,56,,
1119,0,TCP,192.168.77.101,58219,80,0,0,0,56,,
1120,0,TCP,192.168.77.101,58219,80,2661,0,0,56,,
1122,0,TCP,192.168.77.101,58219,80,0,439,0,56,,
1125,0,TCP,192.168.77.101,58223,80,1,0,0,60,140,12
1126,0,TCP,192.168.77.101,58220,80,1448,0,0,57,,
1129,0,TCP,192.168.77.101,58223,80,0,449,0,60,,
1130,0,TCP,192.168.77.101,58220,80,1448,0,0,57,,
1133,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1138,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1139,0,TCP,192.168.77.101,58220,80,1448,0,0,57,,
1148,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1149,0,TCP,192.168.77.101,58220,80,1448,0,0,57,,
1156,0,TCP,192.168.77.101,58224,80,1,0,0,61,140,13
1157,0,TCP,192.168.77.101,58221,80,1172,0,0,58,,
1158,0,TCP,192.168.77.101,58222,80,644,0,0,59,,
1159,0,TCP,192.168.77.101,58224,80,0,445,0,61,,
1160,0,TCP,192.168.77.101,58220,80,4344,0,0,57,,
1167,0,TCP,192.168.77.101,58220,80,1448,0,0,57,,
1168,0,TCP,192.168.77.101,58220,80,1448,0,0,57,,
1169,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1178,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1179,0,TCP,192.168.77.101,58220,80,4344,0,0,57,,
1180,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1195,0,TCP,192.168.77.101,58219,80,2735,0,0,56,,
1196,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1201,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1216,0,TCP,192.168.77.101,58220,80,4344,0,0,57,,
1217,0,TCP,192.168.77.101,58220,80,5792,0,0,57,,
1218,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1219,0,TCP,192.168.77.101,58220,80,4344,0,0,57,,
1220,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1221,0,TCP,192.168.77.101,58220,80,4344,0,0,57,,
1222,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1223,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1224,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1225,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1276,0,TCP,192.168.77.101,58220,80,4344,0,0,57,,
1277,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1278,0,TCP,192.168.77.101,58220,80,1448,0,0,57,,
1279,0,TCP,192.168.77.101,58220,80,2896,0,0,57,,
1280,0,TCP,192.168.77.101,58220,80,5792,0,0,57,,
1281,0,TCP,192.168.77.101,58223,80,2896,0,0,60,,
1282,0,TCP,192.168.77.101,58223,80,2896,0,0,60,,
1283,0,TCP,192.168.77.101,58223,80,2896,0,0,60,,
1284,0,TCP,192.168.77.101,58223,80,1448,0,0,60,,
1285,0,TCP,192.168.77.101,58223,80,1448,0,0,60,,
1286,0,TCP,192.168.77.101,58223,80,2896,0,0,60,,
