Layer,src_ip,,dst_port,sql
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
UDP,192.168.77.1,,,0
DNS,192.168.77.1,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,162.159.61.3,,,0
UDP,192.168.77.106,,,0
UDP,162.159.61.3,,,0
UDP,162.159.61.3,,,0
UDP,192.168.77.106,,,0
UDP,162.159.61.3,,,0
UDP,162.159.61.3,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,162.159.61.3,,,0
UDP,162.159.61.3,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
UDP,162.159.61.3,,,0
UDP,162.159.61.3,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.232,,,0
UDP,192.168.77.106,,,0
UDP,162.159.135.232,,,0
UDP,162.159.135.232,,,0
UDP,162.159.135.232,,,0
UDP,162.159.135.232,,,0
UDP,192.168.77.106,,,0
UDP,192.168.77.106,,,0
